n, time (ms), L1 DCM, L2 DCM
25, 75.394, 7530638, 22583600
26, 154.025, 16467611, 51331347
27, 330.225, 35750643, 114946742
28, 938.638, 77021141, 259967968
29, 2261.52, 164712025, 542209257
30, 5145.94, 350785910, 1139618251
31, 11114.6, 742972917, 2379897253
32, 24816.1, 1568323009, 4941116101
