n, time (ms), L1 DCM, L2 DCM
25, 79.4016, 15601921, 48013555
26, 219.994, 32789752, 95799349
27, 499.613, 68777283, 200570920
28, 1111.02, 144158533, 411594043
29, 2300.85, 302099412, 853452003
30, 4696.1, 633784508, 1760061318
31, 9698.09, 1332637749, 3657545055
32, 20155.6, 2798365281, 7658552545
